               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,              0.0238,           0.0056612,           0.0029099,             0.97778,             0.99266,             0.99016,             0.71712,            0.021687,           0.0039898,          0.00098488,            0.002179,            0.002179,            0.002179
                  81,            0.023554,           0.0056162,           0.0029593,             0.97647,             0.99294,             0.98888,             0.71735,             0.02172,            0.003987,           0.0009452,             0.00208,             0.00208,             0.00208
                  82,            0.023227,           0.0055023,           0.0028927,             0.97857,             0.99463,             0.99177,             0.71686,             0.02166,           0.0039816,          0.00092895,            0.001981,            0.001981,            0.001981
                  83,            0.023265,           0.0055625,           0.0027549,             0.97958,             0.99606,             0.99281,             0.71837,            0.021663,           0.0039789,          0.00091906,            0.001882,            0.001882,            0.001882
                  84,              0.0228,           0.0056129,           0.0027556,             0.97781,             0.99389,             0.98989,             0.71585,            0.021584,           0.0039863,          0.00088714,            0.001783,            0.001783,            0.001783
                  85,            0.022598,           0.0054318,           0.0026077,             0.97924,             0.99567,              0.9917,             0.71751,            0.021546,           0.0039803,          0.00082655,            0.001684,            0.001684,            0.001684
                  86,            0.022306,           0.0055392,           0.0026509,             0.97975,             0.99681,             0.99305,             0.71717,            0.021549,           0.0039795,          0.00079334,            0.001585,            0.001585,            0.001585
                  87,            0.021922,           0.0055155,           0.0025603,             0.98021,             0.99681,             0.99315,              0.7196,            0.021483,           0.0039756,          0.00075426,            0.001486,            0.001486,            0.001486
                  88,            0.022092,           0.0055143,           0.0023644,             0.97862,             0.99628,              0.9917,             0.72122,            0.021454,           0.0039859,           0.0007171,            0.001387,            0.001387,            0.001387
                  89,            0.021889,           0.0053839,           0.0023243,              0.9755,              0.9934,             0.98811,             0.72026,            0.021508,           0.0039862,          0.00070493,            0.001288,            0.001288,            0.001288
                  90,            0.021737,           0.0054147,           0.0022833,             0.97658,             0.99309,             0.98818,             0.72064,            0.021437,            0.003972,          0.00066041,            0.001189,            0.001189,            0.001189
                  91,            0.021443,           0.0053943,           0.0022807,             0.97879,             0.99551,             0.99197,             0.72191,            0.021385,           0.0039695,           0.0006169,             0.00109,             0.00109,             0.00109
                  92,            0.021372,            0.005302,           0.0021184,             0.97807,             0.99547,             0.99198,             0.72237,            0.021288,           0.0039656,          0.00059782,            0.000991,            0.000991,            0.000991
                  93,            0.020969,           0.0054251,            0.002215,             0.97764,             0.99568,             0.99186,             0.72065,            0.021295,           0.0039633,          0.00060939,            0.000892,            0.000892,            0.000892
                  94,            0.020811,           0.0052405,           0.0019171,             0.97691,             0.99478,             0.99174,             0.72146,            0.021264,            0.003958,          0.00059306,            0.000793,            0.000793,            0.000793
                  95,            0.020654,           0.0052655,            0.002009,             0.97595,             0.99273,             0.98935,             0.72209,            0.021305,           0.0039583,          0.00056023,            0.000694,            0.000694,            0.000694
                  96,            0.020324,           0.0052667,           0.0017022,             0.97773,             0.99386,             0.99165,              0.7209,            0.021355,           0.0039604,            0.000548,            0.000595,            0.000595,            0.000595
                  97,            0.019864,            0.005207,           0.0017581,             0.97777,             0.99401,             0.99044,             0.72156,            0.021372,           0.0039587,          0.00052991,            0.000496,            0.000496,            0.000496
                  98,            0.019956,           0.0052469,             0.00171,              0.9765,             0.99314,             0.98879,             0.72105,            0.021357,           0.0039609,           0.0005065,            0.000397,            0.000397,            0.000397
                  99,            0.019586,           0.0052581,           0.0016411,             0.97558,             0.99215,             0.98754,             0.72047,            0.021349,            0.003963,          0.00048945,            0.000298,            0.000298,            0.000298
